StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q1,Q2,Q3,Q4,Q5,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Select the TA you wish to evaluate:,[QID18-ChoiceGroup-SelectedChoices] was well prepared:,[QID18-ChoiceGroup-SelectedChoices] was helpful:,[QID18-ChoiceGroup-SelectedChoices] was considerate of students:,[QID18-ChoiceGroup-SelectedChoices] was easily understood:,[QID18-ChoiceGroup-SelectedChoices] was an effective instructor:,"Please comment below on what [QID18-ChoiceGroup-SelectedChoices] did well and your suggestions for improving the course and the teaching effectiveness of [QID18-ChoiceGroup-SelectedChoices].  At all times please be respectful, specific and constructive in your comments.  (Malicious or otherwise inappropriate comments will be discarded)."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}"
3/22/2023 12:51,3/22/2023 12:52,IP Address,172.218.192.47,100,49,TRUE,3/22/2023 12:52,R_1d6qBP78rttPSRx,,,,,49.2624,-123.1604,anonymous,EN,Jose,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,
3/22/2023 15:58,3/22/2023 15:58,IP Address,173.180.177.242,100,17,TRUE,3/22/2023 15:58,R_vB7VLp7QDiD0Eox,,,,,49.2666,-123.1976,anonymous,EN,John,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
3/30/2023 15:08,3/30/2023 15:10,IP Address,128.189.65.187,100,111,TRUE,3/30/2023 15:10,R_r7QzYwvSWAXAD5v,,,,,49.2825,-123.1291,anonymous,EN,Mary,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
4/4/2023 17:05,4/4/2023 17:07,IP Address,108.172.75.176,100,82,TRUE,4/4/2023 17:07,R_2EiQC33HjKiqLDw,,,,,49.1617,-123.175,anonymous,EN,Jenny,Neutral,Agree,Neutral,Neutral,Neutral,
